Time   0
x	y	imag	real	abs
-0.25	-0.25	0	1.28239e-26	1.28239e-26
-0.25	-0.245	0	4.42038e-26	4.42038e-26
-0.25	-0.24	0	1.48608e-25	1.48608e-25
-0.25	-0.235	0	4.87266e-25	4.87266e-25
-0.25	-0.23	0	1.55824e-24	1.55824e-24
-0.25	-0.225	0	4.86008e-24	4.86008e-24
-0.25	-0.22	0	1.47841e-23	1.47841e-23
-0.25	-0.215	0	4.38623e-23	4.38623e-23
-0.25	-0.21	0	1.2692e-22	1.2692e-22
-0.25	-0.205	0	3.58187e-22	3.58187e-22
-0.25	-0.2	0	9.859e-22	9.859e-22
-0.25	-0.195	0	2.64666e-21	2.64666e-21
-0.25	-0.19	0	6.92958e-21	6.92958e-21
-0.25	-0.185	0	1.76953e-20	1.76953e-20
-0.25	-0.18	0	4.40709e-20	4.40709e-20
-0.25	-0.175	0	1.0705e-19	1.0705e-19
-0.25	-0.17	0	2.53611e-19	2.53611e-19
-0.25	-0.165	0	5.85988e-19	5.85988e-19
-0.25	-0.16	0	1.32054e-18	1.32054e-18
-0.25	-0.155	0	2.90242e-18	2.90242e-18
-0.25	-0.15	0	6.22171e-18	6.22171e-18
-0.25	-0.145	0	1.30077e-17	1.30077e-17
-0.25	-0.14	0	2.65239e-17	2.65239e-17
-0.25	-0.135	0	5.2749e-17	5.2749e-17
-0.25	-0.13	0	1.02314e-16	1.02314e-16
-0.25	-0.125	0	1.93552e-16	1.93552e-16
-0.25	-0.12	0	3.5711e-16	3.5711e-16
-0.25	-0.115	0	6.42614e-16	6.42614e-16
-0.25	-0.11	0	1.12782e-15	1.12782e-15
-0.25	-0.105	0	1.93052e-15	1.93052e-15
-0.25	-0.1	0	3.22292e-15	3.22292e-15
-0.25	-0.095	0	5.2477e-15	5.2477e-15
-0.25	-0.09	0	8.33355e-15	8.33355e-15
-0.25	-0.085	0	1.29072e-14	1.29072e-14
-0.25	-0.08	0	1.94976e-14	1.94976e-14
-0.25	-0.075	0	2.87256e-14	2.87256e-14
-0.25	-0.07	0	4.12763e-14	4.12763e-14
-0.25	-0.065	0	5.78463e-14	5.78463e-14
-0.25	-0.06	0	7.90665e-14	7.90665e-14
-0.25	-0.055	0	1.05403e-13	1.05403e-13
-0.25	-0.05	0	1.37042e-13	1.37042e-13
-0.25	-0.045	0	1.7378e-13	1.7378e-13
-0.25	-0.04	0	2.14925e-13	2.14925e-13
-0.25	-0.035	0	2.59249e-13	2.59249e-13
-0.25	-0.03	0	3.04993e-13	3.04993e-13
-0.25	-0.025	0	3.4995e-13	3.4995e-13
-0.25	-0.02	0	3.91619e-13	3.91619e-13
-0.25	-0.015	0	4.27429e-13	4.27429e-13
-0.25	-0.01	0	4.54996e-13	4.54996e-13
-0.25	-0.005	0	4.72383e-13	4.72383e-13
-0.25	0	0	4.78324e-13	4.78324e-13
-0.25	0.005	0	4.72383e-13	4.72383e-13
-0.25	0.01	0	4.54996e-13	4.54996e-13
-0.25	0.015	0	4.27429e-13	4.27429e-13
-0.25	0.02	0	3.91619e-13	3.91619e-13
-0.25	0.025	0	3.4995e-13	3.4995e-13
-0.25	0.03	0	3.04993e-13	3.04993e-13
-0.25	0.035	0	2.59249e-13	2.59249e-13
-0.25	0.04	0	2.14925e-13	2.14925e-13
-0.25	0.045	0	1.7378e-13	1.7378e-13
-0.25	0.05	0	1.37042e-13	1.37042e-13
-0.25	0.055	0	1.05403e-13	1.05403e-13
-0.25	0.06	0	7.90665e-14	7.90665e-14
-0.25	0.065	0	5.78463e-14	5.78463e-14
-0.25	0.07	0	4.12763e-14	4.12763e-14
-0.25	0.075	0	2.87256e-14	2.87256e-14
-0.25	0.08	0	1.94976e-14	1.94976e-14
-0.25	0.085	0	1.29072e-14	1.29072e-14
-0.25	0.09	0	8.33355e-15	8.33355e-15
-0.25	0.095	0	5.2477e-15	5.2477e-15
-0.25	0.1	0	3.22292e-15	3.22292e-15
-0.25	0.105	0	1.93052e-15	1.93052e-15
-0.25	0.11	0	1.12782e-15	1.12782e-15
-0.25	0.115	0	6.42614e-16	6.42614e-16
-0.25	0.12	0	3.5711e-16	3.5711e-16
-0.25	0.125	0	1.93552e-16	1.93552e-16
