Time   4.2e-05
x	y	imag	real	abs
-0.25	-0.25	-4.5184e-26	-7.0272e-27	4.57272e-26
-0.25	-0.245	-6.18805e-26	1.58595e-26	6.38805e-26
-0.25	-0.24	-1.9833e-25	-1.89053e-27	1.98339e-25
-0.25	-0.235	-7.01384e-25	7.79672e-27	7.01427e-25
-0.25	-0.23	-2.34727e-24	1.02782e-25	2.34952e-24
-0.25	-0.225	-7.62908e-24	5.66116e-25	7.65005e-24
-0.25	-0.22	-2.41114e-23	2.50582e-24	2.42413e-23
-0.25	-0.215	-7.41078e-23	9.86219e-24	7.47612e-23
-0.25	-0.21	-2.21546e-22	3.58262e-23	2.24424e-22
-0.25	-0.205	-6.44301e-22	1.22325e-22	6.55811e-22
-0.25	-0.2	-1.82304e-21	3.96602e-22	1.86568e-21
-0.25	-0.195	-5.01925e-21	1.22874e-21	5.16747e-21
-0.25	-0.19	-1.34484e-20	3.65307e-21	1.39357e-20
-0.25	-0.185	-3.50702e-20	1.04524e-20	3.65947e-20
-0.25	-0.18	-8.90199e-20	2.88445e-20	9.35764e-20
-0.25	-0.175	-2.19969e-19	7.68933e-20	2.33021e-19
-0.25	-0.17	-5.29177e-19	1.98257e-19	5.65097e-19
-0.25	-0.165	-1.2395e-18	4.94882e-19	1.33465e-18
-0.25	-0.16	-2.82709e-18	1.19687e-18	3.07001e-18
-0.25	-0.155	-6.27936e-18	2.80631e-18	6.87792e-18
-0.25	-0.15	-1.35834e-17	6.3826e-18	1.50082e-17
-0.25	-0.145	-2.86193e-17	1.4087e-17	3.18984e-17
-0.25	-0.14	-5.8735e-17	3.01827e-17	6.60364e-17
-0.25	-0.135	-1.17425e-16	6.27987e-17	1.33162e-16
-0.25	-0.13	-2.28705e-16	1.26914e-16	2.6156e-16
-0.25	-0.125	-4.33992e-16	2.49192e-16	5.00446e-16
-0.25	-0.12	-8.02426e-16	4.75454e-16	9.32708e-16
-0.25	-0.115	-1.44569e-15	8.81664e-16	1.69333e-15
-0.25	-0.11	-2.53819e-15	1.58921e-15	2.99466e-15
-0.25	-0.105	-4.34286e-15	2.78481e-15	5.15903e-15
-0.25	-0.1	-7.24197e-15	4.74449e-15	8.65773e-15
-0.25	-0.095	-1.17704e-14	7.85961e-15	1.41533e-14
-0.25	-0.09	-1.86466e-14	1.26608e-14	2.25386e-14
-0.25	-0.085	-2.8794e-14	1.98333e-14	3.49636e-14
-0.25	-0.08	-4.3343e-14	3.02146e-14	5.2835e-14
-0.25	-0.075	-6.36011e-14	4.47655e-14	7.77756e-14
