Time   0.008736
x	y	imag	real	abs
-0.25	-0.25	-4.3115e-15	-2.10816e-17	4.31155e-15
-0.25	-0.245	-3.41476e-14	7.93171e-15	3.50566e-14
-0.25	-0.24	-1.94658e-14	2.65777e-15	1.96464e-14
-0.25	-0.235	2.72552e-15	-1.9276e-14	1.94677e-14
-0.25	-0.23	2.40634e-15	3.27251e-15	4.062e-15
-0.25	-0.225	-7.93669e-15	-8.52218e-15	1.16455e-14
-0.25	-0.22	-2.14176e-14	-2.97667e-15	2.16235e-14
-0.25	-0.215	-1.01636e-14	-1.07894e-14	1.48226e-14
-0.25	-0.21	1.2314e-14	1.98384e-14	2.33495e-14
-0.25	-0.205	-2.13555e-14	4.71699e-15	2.18702e-14
-0.25	-0.2	7.68179e-17	-1.05556e-14	1.05559e-14
-0.25	-0.195	2.98488e-15	-1.25931e-14	1.2942e-14
-0.25	-0.19	2.40104e-15	-1.00183e-14	1.0302e-14
-0.25	-0.185	1.55582e-14	-6.50365e-15	1.68628e-14
-0.25	-0.18	1.49118e-14	-4.87423e-15	1.56882e-14
-0.25	-0.175	-9.03704e-15	2.78121e-15	9.45533e-15
-0.25	-0.17	-1.90632e-14	-1.75679e-14	2.59237e-14
-0.25	-0.165	-1.05744e-15	4.60962e-15	4.72935e-15
-0.25	-0.16	-6.90789e-15	-1.49815e-14	1.64974e-14
-0.25	-0.155	6.82522e-15	-1.39473e-14	1.55277e-14
-0.25	-0.15	5.0727e-15	-6.88944e-15	8.55551e-15
-0.25	-0.145	-1.43163e-15	1.14006e-14	1.14901e-14
-0.25	-0.14	-1.6142e-14	-3.10833e-15	1.64385e-14
-0.25	-0.135	-6.83754e-16	-1.27209e-14	1.27393e-14
-0.25	-0.13	7.62346e-15	-2.46154e-15	8.01101e-15
-0.25	-0.125	1.34166e-15	-1.6974e-14	1.7027e-14
-0.25	-0.12	4.18812e-15	1.58963e-15	4.47965e-15
-0.25	-0.115	-9.28407e-15	8.55897e-15	1.26274e-14
-0.25	-0.11	-1.83953e-14	-2.06519e-14	2.76566e-14
-0.25	-0.105	-6.36051e-15	1.42116e-15	6.51735e-15
-0.25	-0.1	4.4401e-15	-1.88841e-14	1.93991e-14
-0.25	-0.095	1.2906e-14	-1.15575e-15	1.29576e-14
-0.25	-0.09	3.625e-14	2.18012e-14	4.23008e-14
-0.25	-0.085	5.21983e-15	9.61202e-15	1.09379e-14
-0.25	-0.08	4.58723e-15	-1.36458e-14	1.43962e-14
-0.25	-0.075	-1.87259e-14	-1.16443e-14	2.20511e-14
-0.25	-0.07	-2.05106e-14	3.98576e-15	2.08943e-14
-0.25	-0.065	3.88009e-15	-2.56393e-14	2.59312e-14
-0.25	-0.06	9.75243e-15	-3.83089e-15	1.04779e-14
-0.25	-0.055	-6.79083e-15	-5.94152e-15	9.02314e-15
-0.25	-0.05	-2.40058e-14	-9.63849e-15	2.58685e-14
-0.25	-0.045	-4.59736e-16	-9.01408e-15	9.0258e-15
-0.25	-0.04	1.814e-14	-2.35816e-14	2.97515e-14
-0.25	-0.035	-1.79828e-15	-2.91656e-14	2.92209e-14
-0.25	-0.03	-1.5292e-14	-3.40542e-14	3.73301e-14
-0.25	-0.025	-1.45467e-14	-3.19684e-14	3.51224e-14
-0.25	-0.02	-7.38611e-15	-1.33369e-14	1.52455e-14
-0.25	-0.015	-2.3846e-14	1.76347e-14	2.96583e-14
-0.25	-0.01	-2.36509e-14	6.2652e-14	6.69674e-14
-0.25	-0.005	-6.20945e-14	7.6554e-14	9.8571e-14
-0.25	0	-6.44763e-14	8.21414e-14	1.04424e-13
-0.25	0.005	-4.14458e-14	7.09587e-14	8.2176e-14
-0.25	0.01	-3.6393e-14	4.84847e-14	6.06235e-14
-0.25	0.015	-2.35739e-14	1.05407e-14	2.58231e-14
-0.25	0.02	-2.1881e-14	-2.02678e-14	2.98255e-14
-0.25	0.025	-2.00754e-14	-4.69624e-14	5.10733e-14
-0.25	0.03	-1.02246e-14	-3.22643e-14	3.38457e-14
-0.25	0.035	5.03987e-15	-1.95079e-14	2.01484e-14
-0.25	0.04	-1.2957e-14	-1.04416e-14	1.66407e-14
-0.25	0.045	-1.11575e-14	-1.33709e-15	1.12373e-14
-0.25	0.05	7.01147e-16	-2.14392e-15	2.25566e-15
-0.25	0.055	9.56944e-15	4.02997e-16	9.57792e-15
-0.25	0.06	2.22111e-14	-5.13123e-16	2.2217e-14
-0.25	0.065	8.48254e-15	1.47287e-14	1.69967e-14
-0.25	0.07	-7.53525e-15	1.5535e-14	1.7266e-14
-0.25	0.075	1.94709e-16	-1.88565e-15	1.89568e-15
-0.25	0.08	-9.73165e-16	5.37841e-16	1.1119e-15
-0.25	0.085	6.72868e-16	3.28505e-16	7.48776e-16
-0.25	0.09	-1.32343e-15	8.5498e-15	8.65162e-15
-0.25	0.095	-2.45945e-15	3.27087e-15	4.09237e-15
-0.25	0.1	-2.91769e-15	-3.94899e-15	4.90994e-15
-0.25	0.105	1.28187e-15	-1.12641e-14	1.13368e-14
-0.25	0.11	2.15099e-15	-9.12651e-15	9.37656e-15
-0.25	0.115	-6.26742e-15	-3.66014e-15	7.2579e-15
-0.25	0.12	2.98849e-15	-4.95551e-15	5.7869e-15
-0.25	0.125	6.40509e-16	-7.27193e-15	7.30009e-15
-0.25	0.13	-2.83023e-15	-3.49096e-15	4.49411e-15
-0.25	0.135	-1.98516e-15	2.32047e-15	3.05376e-15
-0.25	0.14	-1.04014e-15	2.48177e-15	2.69092e-15
-0.25	0.145	3.85135e-15	6.48144e-16	3.90551e-15
-0.25	0.15	1.31506e-16	-5.25219e-15	5.25383e-15
-0.25	0.155	-2.34855e-15	-3.36207e-15	4.10112e-15
-0.25	0.16	-3.49542e-15	2.54891e-15	4.32607e-15
-0.25	0.165	-3.19121e-15	5.87302e-15	6.68402e-15
-0.25	0.17	-1.54519e-17	8.55343e-15	8.55344e-15
-0.25	0.175	-3.96985e-16	2.37764e-15	2.41055e-15
-0.25	0.18	2.76926e-15	2.02817e-15	3.43253e-15
-0.25	0.185	-2.9419e-16	-1.23508e-15	1.26964e-15
-0.25	0.19	-1.25901e-15	-1.38876e-15	1.87451e-15
-0.25	0.195	2.04712e-15	1.53098e-16	2.05284e-15
-0.25	0.2	-1.59887e-15	-2.21477e-15	2.73159e-15
-0.25	0.205	6.74535e-16	1.33027e-15	1.49152e-15
-0.25	0.21	6.90175e-16	-2.40991e-15	2.50679e-15
-0.25	0.215	-2.44818e-15	-2.35713e-15	3.39848e-15
-0.25	0.22	-5.6682e-15	-5.5949e-15	7.96439e-15
-0.25	0.225	-3.54988e-15	-2.62449e-15	4.4147e-15
-0.25	0.23	-1.96926e-15	1.78954e-16	1.97737e-15
-0.25	0.235	-2.06981e-15	7.59081e-16	2.20461e-15
-0.25	0.24	-2.93291e-15	-2.88641e-15	4.11501e-15
-0.25	0.245	4.44742e-16	-2.34248e-15	2.38433e-15
-0.245	-0.25	2.51253e-14	7.82758e-15	2.63164e-14
-0.245	-0.245	-1.54891e-15	1.88668e-15	2.44104e-15
-0.245	-0.24	7.66165e-15	-1.00498e-14	1.26372e-14
-0.245	-0.235	1.47497e-14	-2.60584e-14	2.99431e-14
-0.245	-0.23	-9.54434e-17	1.51766e-14	1.51769e-14
