Time   0
Coordinate	x1	x2
-0.25	1.28239e-26	1.28239e-26
-0.245	1.5237e-25	1.5237e-25
-0.24	1.72212e-24	1.72212e-24
-0.235	1.85145e-23	1.85145e-23
-0.23	1.89342e-22	1.89342e-22
-0.225	1.8419e-21	1.8419e-21
-0.22	1.7044e-20	1.7044e-20
-0.215	1.50025e-19	1.50025e-19
-0.21	1.25614e-18	1.25614e-18
-0.205	1.00046e-17	1.00046e-17
-0.2	7.57959e-17	7.57959e-17
-0.195	5.46232e-16	5.46232e-16
-0.19	3.7445e-15	3.7445e-15
-0.185	2.44172e-14	2.44172e-14
-0.18	1.51455e-13	1.51455e-13
-0.175	8.93628e-13	8.93628e-13
-0.17	5.0155e-12	5.0155e-12
-0.165	2.67767e-11	2.67767e-11
-0.16	1.35984e-10	1.35984e-10
-0.155	6.56901e-10	6.56901e-10
-0.15	3.01856e-09	3.01856e-09
-0.145	1.31942e-08	1.31942e-08
-0.14	5.48597e-08	5.48597e-08
-0.135	2.16974e-07	2.16974e-07
-0.13	8.16297e-07	8.16297e-07
-0.125	2.92128e-06	2.92128e-06
-0.12	9.94454e-06	9.94454e-06
-0.115	3.22018e-05	3.22018e-05
-0.11	9.91886e-05	9.91886e-05
-0.105	0.000290622	0.000290622
-0.1	0.000809991	0.000809991
-0.095	0.00214742	0.00214742
-0.09	0.00541551	0.00541551
-0.085	0.0129911	0.0129911
-0.08	0.0296442	0.0296442
-0.075	0.0643456	0.0643456
-0.07	0.132856	0.132856
-0.065	0.260934	0.260934
-0.06	0.487489	0.487489
-0.055	0.866332	0.866332
-0.05	1.4645	1.4645
-0.045	2.35493	2.35493
-0.04	3.60208	3.60208
-0.035	5.241	5.241
-0.03	7.25371	7.25371
-0.025	9.54973	9.54973
-0.02	11.9593	11.9593
-0.015	14.2465	14.2465
-0.01	16.1434	16.1434
-0.005	17.4007	17.4007
0	17.8412	17.8412
0.005	17.4007	17.4007
0.01	16.1434	16.1434
0.015	14.2465	14.2465
0.02	11.9593	11.9593
0.025	9.54973	9.54973
0.03	7.25371	7.25371
0.035	5.241	5.241
0.04	3.60208	3.60208
0.045	2.35493	2.35493
0.05	1.4645	1.4645
0.055	0.866332	0.866332
0.06	0.487489	0.487489
0.065	0.260934	0.260934
0.07	0.132856	0.132856
0.075	0.0643456	0.0643456
0.08	0.0296442	0.0296442
0.085	0.0129911	0.0129911
0.09	0.00541551	0.00541551
0.095	0.00214742	0.00214742
0.1	0.000809991	0.000809991
0.105	0.000290622	0.000290622
0.11	9.91886e-05	9.91886e-05
0.115	3.22018e-05	3.22018e-05
0.12	9.94454e-06	9.94454e-06
0.125	2.92128e-06	2.92128e-06
0.13	8.16297e-07	8.16297e-07
0.135	2.16974e-07	2.16974e-07
0.14	5.48597e-08	5.48597e-08
0.145	1.31942e-08	1.31942e-08
0.15	3.01856e-09	3.01856e-09
0.155	6.56901e-10	6.56901e-10
0.16	1.35984e-10	1.35984e-10
0.165	2.67767e-11	2.67767e-11
0.17	5.0155e-12	5.0155e-12
0.175	8.93628e-13	8.93628e-13
0.18	1.51455e-13	1.51455e-13
0.185	2.44172e-14	2.44172e-14
0.19	3.7445e-15	3.7445e-15
0.195	5.46232e-16	5.46232e-16
0.2	7.57959e-17	7.57959e-17
0.205	1.00046e-17	1.00046e-17
0.21	1.25614e-18	1.25614e-18
0.215	1.50025e-19	1.50025e-19
0.22	1.7044e-20	1.7044e-20
0.225	1.8419e-21	1.8419e-21
0.23	1.89342e-22	1.89342e-22
0.235	1.85145e-23	1.85145e-23
0.24	1.72212e-24	1.72212e-24
0.245	1.5237e-25	1.5237e-25
