Time   8.4e-05
Coordinate	x1	x2
-0.25	5.15596e-26	4.98879e-26
-0.245	1.42109e-25	1.42869e-25
-0.24	1.34544e-24	1.3326e-24
-0.235	1.30612e-23	1.29313e-23
-0.23	1.33919e-22	1.32993e-22
-0.225	1.32255e-21	1.31447e-21
-0.22	1.23962e-20	1.23308e-20
-0.215	1.10498e-19	1.09998e-19
-0.21	9.36914e-19	9.33301e-19
-0.205	7.55623e-18	7.53148e-18
-0.2	5.79637e-17	5.78032e-17
-0.195	4.22904e-16	4.21919e-16
-0.19	2.93461e-15	2.92889e-15
-0.185	1.93675e-14	1.93361e-14
-0.18	1.21563e-13	1.214e-13
-0.175	7.25644e-13	7.24844e-13
-0.17	4.11942e-12	4.11571e-12
-0.165	2.22397e-11	2.22236e-11
-0.16	1.14183e-10	1.14116e-10
-0.155	5.57493e-10	5.57235e-10
-0.15	2.58848e-09	2.58753e-09
-0.145	1.14291e-08	1.14258e-08
-0.14	4.7988e-08	4.79776e-08
-0.135	1.91606e-07	1.91574e-07
-0.13	7.27501e-07	7.27412e-07
-0.125	2.62667e-06	2.62644e-06
-0.12	9.01826e-06	9.0177e-06
-0.115	2.9443e-05	2.94418e-05
-0.11	9.14076e-05	9.14051e-05
-0.105	0.000269849	0.000269845
-0.1	0.000757527	0.00075752
-0.095	0.00202214	0.00202213
-0.09	0.00513286	0.00513286
-0.085	0.0123892	0.0123892
-0.08	0.0284355	0.0284355
-0.075	0.0620599	0.0620601
-0.07	0.128794	0.128794
-0.065	0.254163	0.254163
-0.06	0.476937	0.476938
-0.055	0.851024	0.851025
-0.05	1.44396	1.44396
-0.045	2.3297	2.32971
-0.04	3.5742	3.5742
-0.035	5.2142	5.2142
-0.03	7.23318	7.23318
-0.025	9.5412	9.5412
-0.02	11.9676	11.9676
-0.015	14.274	14.274
-0.01	16.1888	16.1888
-0.005	17.4589	17.4589
0	17.9041	17.9041
0.005	17.4589	17.4589
0.01	16.1888	16.1888
0.015	14.274	14.274
0.02	11.9676	11.9676
0.025	9.5412	9.5412
0.03	7.23318	7.23318
0.035	5.2142	5.2142
0.04	3.5742	3.5742
0.045	2.3297	2.32971
0.05	1.44396	1.44396
0.055	0.851024	0.851025
0.06	0.476937	0.476938
0.065	0.254163	0.254163
0.07	0.128794	0.128794
0.075	0.0620599	0.0620601
0.08	0.0284355	0.0284355
0.085	0.0123892	0.0123892
0.09	0.00513286	0.00513286
0.095	0.00202214	0.00202213
0.1	0.000757527	0.00075752
0.105	0.000269849	0.000269845
0.11	9.14076e-05	9.14051e-05
0.115	2.9443e-05	2.94418e-05
0.12	9.01826e-06	9.0177e-06
0.125	2.62667e-06	2.62644e-06
0.13	7.27501e-07	7.27412e-07
0.135	1.91606e-07	1.91574e-07
0.14	4.7988e-08	4.79776e-08
0.145	1.14291e-08	1.14258e-08
0.15	2.58848e-09	2.58753e-09
0.155	5.57493e-10	5.57235e-10
0.16	1.14183e-10	1.14116e-10
0.165	2.22397e-11	2.22236e-11
0.17	4.11942e-12	4.11571e-12
0.175	7.25644e-13	7.24844e-13
0.18	1.21563e-13	1.214e-13
0.185	1.93675e-14	1.93361e-14
0.19	2.93461e-15	2.92889e-15
0.195	4.22904e-16	4.21919e-16
0.2	5.79637e-17	5.78032e-17
0.205	7.55623e-18	7.53148e-18
0.21	9.36914e-19	9.33301e-19
0.215	1.10498e-19	1.09998e-19
0.22	1.23962e-20	1.23308e-20
0.225	1.32256e-21	1.31448e-21
0.23	1.33929e-22	1.33004e-22
0.235	1.305e-23	1.29208e-23
0.24	1.33218e-24	1.31903e-24
0.245	1.38555e-25	1.39105e-25
