Time   0.00189
Coordinate	x1	x2
-0.25	3.36283e-27	4.35031e-27
-0.245	1.54595e-26	1.2153e-26
-0.24	1.63851e-25	1.58917e-25
-0.235	2.07022e-24	1.94189e-24
-0.23	2.45717e-23	2.33494e-23
-0.225	2.7693e-22	2.64396e-22
-0.22	2.94843e-21	2.83e-21
-0.215	2.96656e-20	2.86116e-20
-0.21	2.82044e-19	2.73219e-19
-0.205	2.5338e-18	2.46434e-18
-0.2	2.15093e-17	2.09955e-17
-0.195	1.72546e-16	1.68974e-16
-0.19	1.3081e-15	1.28476e-15
-0.185	9.37313e-15	9.22991e-15
-0.18	6.3489e-14	6.26631e-14
-0.175	4.06589e-13	4.02115e-13
-0.17	2.46229e-12	2.43952e-12
-0.165	1.4104e-11	1.39951e-11
-0.16	7.64307e-11	7.59414e-11
-0.155	3.91941e-10	3.89875e-10
-0.15	1.90246e-09	1.89426e-09
-0.145	8.74309e-09	8.71251e-09
-0.14	3.8053e-08	3.79458e-08
-0.135	1.56894e-07	1.56541e-07
-0.13	6.12965e-07	6.11869e-07
-0.125	2.26982e-06	2.26662e-06
-0.12	7.96871e-06	7.95993e-06
-0.115	2.65299e-05	2.65072e-05
-0.11	8.378e-05	8.37247e-05
-0.105	0.000251017	0.00025089
-0.1	0.000713705	0.000713429
-0.095	0.0019261	0.00192554
-0.09	0.00493478	0.00493369
-0.085	0.0120051	0.0120031
-0.08	0.027736	0.0277325
-0.075	0.0608657	0.0608599
-0.07	0.126886	0.126877
-0.065	0.251318	0.251304
-0.06	0.472992	0.472972
-0.055	0.845965	0.845939
-0.05	1.43801	1.43798
-0.045	2.32337	2.32333
-0.04	3.56827	3.56823
-0.035	5.20965	5.20961
-0.03	7.23095	7.23092
-0.025	9.54203	9.54202
-0.02	11.9719	11.9719
-0.015	14.2816	14.2816
-0.01	16.1991	16.1992
-0.005	17.471	17.4711
0	17.9168	17.9169
0.005	17.471	17.4711
0.01	16.1991	16.1992
0.015	14.2816	14.2816
0.02	11.9719	11.9719
0.025	9.54203	9.54202
0.03	7.23095	7.23092
0.035	5.20965	5.20961
0.04	3.56827	3.56823
0.045	2.32337	2.32333
0.05	1.43801	1.43798
0.055	0.845965	0.845939
0.06	0.472992	0.472972
0.065	0.251318	0.251304
0.07	0.126886	0.126877
0.075	0.0608657	0.0608599
0.08	0.027736	0.0277325
0.085	0.0120051	0.0120031
0.09	0.00493478	0.00493369
0.095	0.0019261	0.00192554
0.1	0.000713705	0.000713429
0.105	0.000251017	0.00025089
0.11	8.378e-05	8.37247e-05
0.115	2.65299e-05	2.65072e-05
0.12	7.96871e-06	7.95993e-06
0.125	2.26982e-06	2.26662e-06
0.13	6.12965e-07	6.11869e-07
0.135	1.56894e-07	1.56541e-07
0.14	3.8053e-08	3.79458e-08
0.145	8.74309e-09	8.71251e-09
0.15	1.90246e-09	1.89426e-09
0.155	3.91941e-10	3.89875e-10
0.16	7.64307e-11	7.59414e-11
0.165	1.4104e-11	1.39951e-11
0.17	2.46229e-12	2.43952e-12
0.175	4.06589e-13	4.02115e-13
0.18	6.3489e-14	6.26631e-14
0.185	9.37313e-15	9.22991e-15
0.19	1.3081e-15	1.28476e-15
0.195	1.72546e-16	1.68974e-16
0.2	2.15093e-17	2.09955e-17
0.205	2.5338e-18	2.46434e-18
0.21	2.82044e-19	2.73219e-19
0.215	2.96658e-20	2.86116e-20
0.22	2.94838e-21	2.83005e-21
0.225	2.7694e-22	2.64383e-22
0.23	2.45665e-23	2.33556e-23
0.235	2.07083e-24	1.93888e-24
0.24	1.63527e-25	1.59384e-25
0.245	1.53397e-26	1.19187e-26
