Time   0
x	y	imag	real	abs
0	0	0	0	0
0	0.015	0	0	0
0	0.03	0	0	0
0	0.045	0	0	0
0	0.06	0	0	0
0	0.075	0	0	0
0	0.09	0	0	0
0	0.105	0	0	0
0	0.12	0	0	0
0	0.135	0	0	0
0	0.15	0	0	0
0	0.165	0	0	0
0	0.18	0	0	0
0	0.195	0	0	0
0	0.21	0	0	0
0	0.225	0	0	0
0	0.24	0	0	0
0	0.255	0	0	0
0	0.27	0	0	0
0	0.285	0	0	0
0	0.3	0	0	0
0	0.315	0	0	0
0	0.33	0	0	0
0	0.345	0	0	0
0	0.36	0	0	0
0	0.375	0	0	0
0	0.39	0	0	0
0	0.405	0	0	0
0	0.42	0	0	0
0	0.435	0	0	0
0	0.45	0	0	0
0	0.465	0	0	0
0	0.48	0	0	0
0	0.495	0	0	0
0	0.51	0	0	0
0	0.525	0	0	0
0	0.54	0	0	0
0	0.555	0	0	0
0	0.57	0	0	0
0	0.585	0	0	0
0	0.6	0	0	0
0	0.615	0	0	0
0	0.63	0	0	0
0	0.645	0	0	0
0	0.66	0	0	0
0	0.675	0	0	0
0	0.69	0	0	0
0	0.705	0	0	0
0	0.72	0	0	0
0	0.735	0	0	0
0	0.75	0	0	0
0	0.765	0	0	0
0	0.78	0	0	0
0	0.795	0	0	0
0	0.81	0	0	0
0	0.825	0	0	0
0	0.84	0	0	0
0	0.855	0	0	0
0	0.87	0	0	0
0	0.885	0	0	0
0	0.9	0	0	0
0	0.915	0	0	0
0	0.93	0	0	0
0	0.945	0	0	0
0	0.96	0	0	0
0	0.975	0	0	0
0	0.99	0	0	0
0	1.005	0	0	0
0	1.02	0	0	0
0	1.035	0	0	0
0	1.05	0	0	0
0	1.065	0	0	0
0	1.08	0	0	0
0	1.095	0	0	0
0	1.11	0	0	0
0	1.125	0	0	0
0	1.14	0	0	0
0	1.155	0	0	0
0	1.17	0	0	0
0	1.185	0	0	0
0	1.2	0	0	0
0	1.215	0	0	0
0	1.23	0	0	0
0	1.245	0	0	0
0	1.26	0	0	0
0	1.275	0	0	0
0	1.29	0	0	0
0	1.305	0	0	0
0	1.32	0	0	0
0	1.335	0	0	0
0	1.35	0	0	0
0	1.365	0	0	0
0	1.38	0	0	0
0	1.395	0	0	0
0	1.41	0	0	0
0	1.425	0	0	0
0	1.44	0	0	0
0	1.455	0	0	0
0	1.47	0	0	0
0	1.485	0	0	0
0.015	0	0	0	0
0.015	0.015	0	5.4397e-39	5.4397e-39
0.015	0.03	-7.54209e-38	-5.98614e-39	7.56581e-38
0.015	0.045	1.5869e-37	-9.93392e-37	1.00599e-36
0.015	0.06	1.24282e-35	3.00994e-36	1.27875e-35
0.015	0.075	-4.84119e-35	1.47661e-34	1.55395e-34
0.015	0.09	-1.66556e-33	-6.96382e-34	1.80528e-33
0.015	0.105	9.17346e-33	-1.7828e-32	2.00497e-32
0.015	0.12	1.80989e-31	1.1207e-31	2.12877e-31
0.015	0.135	-1.27933e-30	1.74132e-30	2.16076e-30
0.015	0.15	-1.58619e-29	-1.37121e-29	2.09672e-29
0.015	0.165	1.38446e-28	-1.3662e-28	1.94505e-28
0.015	0.18	1.11066e-27	1.31982e-27	1.72496e-27
0.015	0.195	-1.18996e-26	8.50159e-27	1.46246e-26
0.015	0.21	-6.10596e-26	-1.01598e-25	1.18534e-25
0.015	0.225	8.22198e-25	-4.09351e-25	9.18465e-25
0.015	0.24	2.5409e-24	6.3113e-24	6.80358e-24
0.015	0.255	-4.59777e-23	1.4401e-23	4.81802e-23
0.015	0.27	-7.25609e-23	-3.18006e-22	3.2618e-22
0.015	0.285	2.08887e-21	-3.05305e-22	2.11107e-21
0.015	0.3	8.60496e-22	1.30334e-20	1.30618e-20
0.015	0.315	-7.72545e-20	-1.02578e-21	7.72613e-20
0.015	0.33	4.03468e-20	-4.35028e-19	4.36895e-19
0.015	0.345	2.32711e-18	4.03501e-19	2.36183e-18
0.015	0.36	-3.03035e-18	1.1824e-17	1.22061e-17
0.015	0.375	-5.70506e-17	-1.95471e-17	6.03064e-17
0.015	0.39	1.13357e-16	-2.61315e-16	2.84843e-16
