Time   0.000588
x	y	imag	real	abs
0	0	0	0	0
0	0.015	0	0	0
0	0.03	0	0	0
0	0.045	0	0	0
0	0.06	0	0	0
0	0.075	0	0	0
0	0.09	0	0	0
0	0.105	0	0	0
0	0.12	0	0	0
0	0.135	0	0	0
0	0.15	0	0	0
0	0.165	0	0	0
0	0.18	0	0	0
0	0.195	0	0	0
0	0.21	0	0	0
0	0.225	0	0	0
0	0.24	0	0	0
0	0.255	0	0	0
0	0.27	0	0	0
0	0.285	0	0	0
0	0.3	0	0	0
0	0.315	0	0	0
0	0.33	0	0	0
0	0.345	0	0	0
0	0.36	0	0	0
0	0.375	0	0	0
0	0.39	0	0	0
0	0.405	0	0	0
0	0.42	0	0	0
0	0.435	0	0	0
0	0.45	0	0	0
0	0.465	0	0	0
0	0.48	0	0	0
0	0.495	0	0	0
0	0.51	0	0	0
0	0.525	0	0	0
0	0.54	0	0	0
0	0.555	0	0	0
0	0.57	0	0	0
0	0.585	0	0	0
0	0.6	0	0	0
0	0.615	0	0	0
0	0.63	0	0	0
0	0.645	0	0	0
0	0.66	0	0	0
0	0.675	0	0	0
0	0.69	0	0	0
0	0.705	0	0	0
0	0.72	0	0	0
0	0.735	0	0	0
0	0.75	0	0	0
0	0.765	0	0	0
0	0.78	0	0	0
0	0.795	0	0	0
0	0.81	0	0	0
0	0.825	0	0	0
0	0.84	0	0	0
0	0.855	0	0	0
0	0.87	0	0	0
0	0.885	0	0	0
0	0.9	0	0	0
0	0.915	0	0	0
0	0.93	0	0	0
0	0.945	0	0	0
0	0.96	0	0	0
0	0.975	0	0	0
0	0.99	0	0	0
0	1.005	0	0	0
0	1.02	0	0	0
0	1.035	0	0	0
0	1.05	0	0	0
0	1.065	0	0	0
0	1.08	0	0	0
0	1.095	0	0	0
0	1.11	0	0	0
0	1.125	0	0	0
0	1.14	0	0	0
0	1.155	0	0	0
0	1.17	0	0	0
0	1.185	0	0	0
0	1.2	0	0	0
0	1.215	0	0	0
0	1.23	0	0	0
0	1.245	0	0	0
0	1.26	0	0	0
0	1.275	0	0	0
0	1.29	0	0	0
0	1.305	0	0	0
0	1.32	0	0	0
0	1.335	0	0	0
0	1.35	0	0	0
0	1.365	0	0	0
0	1.38	0	0	0
0	1.395	0	0	0
0	1.41	0	0	0
0	1.425	0	0	0
0	1.44	0	0	0
0	1.455	0	0	0
0	1.47	0	0	0
0	1.485	0	0	0
0.015	0	0	0	0
0.015	0.015	-8.9388e-33	-3.63056e-32	3.73898e-32
0.015	0.03	6.26079e-31	-1.39209e-32	6.26234e-31
0.015	0.045	-8.33379e-31	3.35189e-30	3.45394e-30
0.015	0.06	8.34829e-30	2.52183e-30	8.72087e-30
0.015	0.075	-5.08135e-29	1.25619e-28	1.35507e-28
0.015	0.09	3.36576e-28	4.05794e-28	5.27212e-28
0.015	0.105	4.51623e-27	3.41037e-27	5.65924e-27
0.015	0.12	2.62357e-26	1.06691e-26	2.83221e-26
0.015	0.135	2.67914e-25	-3.06693e-26	2.69664e-25
0.015	0.15	6.47072e-25	6.30603e-25	9.03528e-25
0.015	0.165	-2.64077e-24	-5.96769e-24	6.52587e-24
0.015	0.18	-2.07994e-23	1.52456e-23	2.57885e-23
0.015	0.195	-7.84297e-22	-2.42186e-22	8.20839e-22
0.015	0.21	-9.41425e-22	-1.76828e-21	2.00327e-21
0.015	0.225	-2.18706e-20	-1.92963e-21	2.19556e-20
0.015	0.24	7.65029e-20	-1.15952e-19	1.38916e-19
0.015	0.255	3.85423e-19	4.98248e-19	6.29922e-19
0.015	0.27	4.54516e-18	-3.41178e-18	5.6832e-18
0.015	0.285	3.33104e-17	2.60462e-17	4.22846e-17
0.015	0.3	6.6798e-18	-6.92437e-17	6.95651e-17
0.015	0.315	5.96298e-16	6.49265e-16	8.81542e-16
0.015	0.33	-5.12837e-15	4.04299e-16	5.14428e-15
0.015	0.345	4.27388e-15	1.56477e-14	1.62209e-14
0.015	0.36	-1.34129e-13	6.77728e-14	1.50279e-13
0.015	0.375	2.55027e-13	1.56123e-13	2.9902e-13
0.015	0.39	-1.574e-12	3.84093e-13	1.62019e-12
