Time   0
Coordinate	x1	x2
0	0	0
0.0148515	2.94369e-10	6.52232e-66
0.029703	2.3406e-09	1.13739e-63
0.0445545	1.7039e-08	1.81592e-61
0.0594059	1.13565e-07	2.65443e-59
0.0742574	6.92997e-07	3.55245e-57
0.0891089	3.87168e-06	4.35281e-55
0.10396	1.9804e-05	4.88308e-53
0.118812	9.27445e-05	5.01536e-51
0.133663	0.000397656	4.71621e-49
0.148515	0.00156103	4.0604e-47
0.163366	0.00561046	3.20058e-45
0.178218	0.0184616	2.30978e-43
0.193069	0.055619	1.52615e-41
0.207921	0.153413	9.23224e-40
0.222772	0.387421	5.1133e-38
0.237624	0.895753	2.59286e-36
0.252475	1.89617	1.20376e-34
0.267327	3.67493	5.11663e-33
0.282178	6.52087	1.99119e-31
0.29703	10.5937	7.09454e-30
0.311881	15.7568	2.3143e-28
0.326733	21.4574	6.91193e-27
0.341584	26.7527	1.89e-25
0.356436	30.5381	4.73161e-24
0.371287	31.9154	1.08452e-22
0.386139	30.5381	2.2759e-21
0.40099	26.7527	4.37271e-20
0.415842	21.4574	7.69186e-19
0.430693	15.7568	1.23879e-17
0.445545	10.5937	1.82661e-16
0.460396	6.52087	2.46591e-15
0.475248	3.67493	3.04784e-14
0.490099	1.89617	3.44899e-13
0.50495	0.895753	3.57335e-12
0.519802	0.387421	3.38955e-11
0.534653	0.153413	2.94369e-10
0.549505	0.055619	2.3406e-09
0.564356	0.0184616	1.7039e-08
0.579208	0.00561046	1.13565e-07
0.594059	0.00156103	6.92997e-07
0.608911	0.000397656	3.87168e-06
0.623762	9.27445e-05	1.9804e-05
0.638614	1.9804e-05	9.27445e-05
0.653465	3.87168e-06	0.000397656
0.668317	6.92997e-07	0.00156103
0.683168	1.13565e-07	0.00561046
0.69802	1.7039e-08	0.0184616
0.712871	2.3406e-09	0.055619
0.727723	2.94369e-10	0.153413
0.742574	3.38955e-11	0.387421
0.757426	3.57335e-12	0.895753
0.772277	3.44899e-13	1.89617
0.787129	3.04784e-14	3.67493
0.80198	2.46591e-15	6.52087
0.816832	1.82661e-16	10.5937
0.831683	1.23879e-17	15.7568
0.846535	7.69186e-19	21.4574
0.861386	4.37271e-20	26.7527
0.876238	2.2759e-21	30.5381
0.891089	1.08452e-22	31.9154
0.905941	4.73161e-24	30.5381
0.920792	1.89e-25	26.7527
0.935644	6.91193e-27	21.4574
0.950495	2.3143e-28	15.7568
0.965347	7.09454e-30	10.5937
0.980198	1.99119e-31	6.52087
0.99505	5.11663e-33	3.67493
1.0099	1.20376e-34	1.89617
1.02475	2.59286e-36	0.895753
1.0396	5.1133e-38	0.387421
1.05446	9.23224e-40	0.153413
1.06931	1.52615e-41	0.055619
1.08416	2.30978e-43	0.0184616
1.09901	3.20058e-45	0.00561046
1.11386	4.0604e-47	0.00156103
1.12871	4.71621e-49	0.000397656
1.14356	5.01536e-51	9.27445e-05
1.15842	4.88308e-53	1.9804e-05
1.17327	4.35281e-55	3.87168e-06
1.18812	3.55245e-57	6.92997e-07
1.20297	2.65443e-59	1.13565e-07
1.21782	1.81592e-61	1.7039e-08
1.23267	1.13739e-63	2.3406e-09
1.24752	6.52232e-66	2.94369e-10
1.26238	3.42436e-68	3.38955e-11
1.27723	1.64604e-70	3.57335e-12
1.29208	7.24411e-73	3.44899e-13
1.30693	2.91886e-75	3.04784e-14
1.32178	1.07678e-77	2.46591e-15
1.33663	3.63682e-80	1.82661e-16
1.35149	1.12461e-82	1.23879e-17
1.36634	3.18393e-85	7.69186e-19
1.38119	8.25298e-88	4.37271e-20
1.39604	1.95858e-90	2.2759e-21
1.41089	4.25555e-93	1.08452e-22
1.42574	8.46551e-96	4.73161e-24
1.44059	1.54182e-98	1.89e-25
1.45545	2.57098e-101	6.91193e-27
1.4703	3.92507e-104	2.3143e-28
1.48515	0	0
