Time   0.004116
Coordinate	x1	x2
0	0	0
0.0148515	5.42787	2.59988e-11
0.029703	0.359157	7.59279e-11
0.0445545	4.3245	3.71255e-10
0.0594059	0.816338	1.54865e-09
0.0742574	3.17424	6.34831e-09
0.0891089	0.97308	2.48553e-08
0.10396	2.33726	9.33659e-08
0.118812	1.20225	3.3584e-07
0.133663	1.94558	1.15593e-06
0.148515	1.53251	3.80333e-06
0.163366	2.04663	1.19511e-05
0.178218	2.00214	3.58294e-05
0.193069	2.15026	0.000102381
0.207921	2.66946	0.000278552
0.222772	2.06195	0.000720844
0.237624	3.28533	0.00177238
0.252475	1.97334	0.00413595
0.267327	3.80089	0.00914953
0.282178	1.95244	0.0191655
0.29703	4.2332	0.0379678
0.311881	2.04767	0.0710488
0.326733	4.33473	0.125433
0.341584	2.23273	0.208664
0.356436	3.93142	0.326714
0.371287	2.37186	0.48098
0.386139	3.1383	0.665199
0.40099	2.40855	0.86402
0.415842	2.30895	1.05381
0.430693	2.31313	1.20911
0.445545	1.83953	1.30616
0.460396	2.09775	1.33665
0.475248	1.83138	1.30341
0.490099	1.93754	1.21923
0.50495	2.07032	1.11771
0.519802	1.98727	1.01337
0.534653	2.29826	0.875107
0.549505	2.20199	0.915954
0.564356	2.42235	0.683469
0.579208	2.3882	0.890249
0.594059	2.38644	0.853386
0.608911	2.42843	0.989509
0.623762	2.20108	1.79624
0.638614	2.32275	2.05261
0.653465	1.96059	3.28521
0.668317	2.21352	3.68462
0.683168	2.00421	4.01302
0.69802	2.68782	3.56161
0.712871	2.61563	3.11348
0.727723	2.93561	2.53285
0.742574	2.45278	4.4341
0.757426	2.33302	3.83237
0.772277	2.19628	4.24257
0.787129	2.13361	4.3866
0.80198	2.32588	5.02954
0.816832	2.22436	5.10185
0.831683	2.4724	5.13763
0.846535	2.33256	7.56496
0.861386	2.05498	9.16892
0.876238	1.618	14.8366
0.891089	1.52441	16.5311
0.905941	1.47431	14.1952
0.920792	1.40783	12.5603
0.935644	1.15123	8.29151
0.950495	1.42692	6.70745
0.965347	1.16844	7.89152
0.980198	1.52418	5.86107
0.99505	1.07814	4.18887
1.0099	1.63723	3.3434
1.02475	1.14556	2.11104
1.0396	1.62742	1.58814
1.05446	1.32694	1.43229
1.06931	1.55919	1.05155
1.08416	1.5548	0.672668
1.09901	1.4554	0.593335
1.11386	1.68058	0.428725
1.12871	1.39808	0.417283
1.14356	1.76058	0.428855
1.15842	1.37927	0.428153
1.17327	1.71498	0.468202
1.18812	1.52789	0.516653
1.20297	1.45112	0.567582
1.21782	1.92523	0.581068
1.23267	1.10056	0.582298
1.24752	2.13079	0.541418
1.26238	1.10695	0.470709
1.27723	1.81291	0.37903
1.29208	1.50001	0.282389
1.30693	1.29145	0.19455
1.32178	1.86653	0.124021
1.33663	0.999496	0.073256
1.35149	2.06307	0.0401503
1.36634	0.976244	0.0204526
1.38119	2.22171	0.00969411
1.39604	1.05345	0.00428326
1.41089	2.53528	0.00176659
1.42574	0.893534	0.000676161
1.44059	3.21775	0.000254296
1.45545	0.347621	7.20555e-05
1.4703	3.94602	4.42787e-05
1.48515	0	0
