Time   8.4e-05
x	y	imag	real	abs
0	0	-1.40032e-21	-8.12606e-22	1.61902e-21
0	0.015	6.86639e-24	1.80005e-22	1.80136e-22
0	0.03	1.61125e-23	-4.87281e-24	1.68332e-23
0	0.045	-4.51381e-25	-1.13434e-24	1.22085e-24
0	0.06	-6.58607e-26	2.65984e-26	7.10289e-26
0	0.075	2.56022e-27	1.70764e-27	3.07746e-27
0	0.09	1.51969e-29	-1.21884e-28	1.22828e-28
0	0.105	-4.36366e-30	1.14822e-30	4.5122e-30
0	0.12	-1.29908e-31	2.97691e-31	3.24801e-31
0	0.135	5.93197e-32	-1.90194e-30	1.90286e-30
0	0.15	2.48078e-29	-1.50835e-29	2.90334e-29
0	0.165	-2.78979e-29	7.19555e-29	7.71744e-29
0	0.18	-1.92134e-27	5.32261e-28	1.9937e-27
0	0.195	1.00642e-28	-5.05815e-27	5.05915e-27
0	0.21	8.97514e-26	-2.63776e-27	8.97901e-26
0	0.225	-1.0273e-26	3.93593e-25	3.93727e-25
0	0.24	-3.44861e-24	-4.62986e-25	3.47955e-24
0	0.255	3.50762e-24	-1.94535e-23	1.97672e-23
0	0.27	1.24002e-22	3.41202e-23	1.28611e-22
0	0.285	-2.43608e-22	7.04655e-22	7.45576e-22
0	0.3	-3.90774e-21	-1.69661e-21	4.26015e-21
0	0.315	1.07169e-20	-2.05063e-20	2.31379e-20
0	0.33	1.02674e-19	6.37476e-20	1.20854e-19
0	0.345	-3.56014e-19	4.88988e-19	6.0486e-19
0	0.36	-2.21403e-18	-1.87779e-18	2.90311e-18
0	0.375	9.37209e-18	-9.5179e-18	1.33576e-17
0	0.39	3.87863e-17	4.43461e-17	5.89148e-17
0	0.405	-1.99181e-16	1.49514e-16	2.49053e-16
0	0.42	-5.43635e-16	-8.50005e-16	1.00898e-15
0	0.435	3.44887e-15	-1.85691e-15	3.91699e-15
0	0.45	5.92241e-15	1.33117e-14	1.45697e-14
0	0.465	-4.88933e-14	1.74677e-14	5.19199e-14
0	0.48	-4.68431e-14	-1.70936e-13	1.77238e-13
0	0.495	5.68927e-13	-1.10385e-13	5.79536e-13
0	0.51	2.09422e-13	1.80281e-12	1.81494e-12
0	0.525	-5.43903e-12	2.14875e-13	5.44327e-12
0	0.54	5.75661e-13	-1.56222e-11	1.56328e-11
0	0.555	4.27133e-11	4.86037e-12	4.2989e-11
0	0.57	-2.13671e-11	1.11148e-10	1.13183e-10
0	0.585	-2.75197e-10	-7.51826e-11	2.85282e-10
0	0.6	2.31882e-10	-6.48105e-10	6.88338e-10
0	0.615	1.45118e-09	6.49163e-10	1.58976e-09
0	0.63	-1.67805e-09	3.08768e-09	3.5142e-09
0	0.645	-6.2386e-09	-4.04395e-09	7.43463e-09
0	0.66	9.13986e-09	-1.19594e-08	1.50521e-08
0	0.675	2.17281e-08	1.94492e-08	2.91613e-08
0	0.69	-3.90712e-08	3.73593e-08	5.40581e-08
0	0.705	-6.06761e-08	-7.42391e-08	9.58803e-08
0	0.72	1.33608e-07	-9.28429e-08	1.62699e-07
0	0.735	1.33351e-07	2.27981e-07	2.64117e-07
0	0.75	-3.69115e-07	1.7881e-07	4.10145e-07
0	0.765	-2.21929e-07	-5.6737e-07	6.09229e-07
0	0.78	8.28302e-07	-2.51233e-07	8.65565e-07
0	0.795	2.52099e-07	1.14883e-06	1.17616e-06
0	0.81	-1.51405e-06	2.09402e-07	1.52846e-06
0	0.825	-1.11521e-07	-1.89623e-06	1.8995e-06
0	0.84	2.25687e-06	4.52585e-08	2.25733e-06
0	0.855	-2.53402e-07	2.55248e-06	2.56503e-06
0	0.87	-2.7428e-06	-4.93326e-07	2.78681e-06
0	0.885	7.35998e-07	-2.79965e-06	2.89478e-06
0	0.9	2.71366e-06	9.4861e-07	2.87468e-06
0	0.915	-1.10184e-06	2.49668e-06	2.729e-06
0	0.93	-2.17916e-06	-1.1765e-06	2.47647e-06
0	0.945	1.16745e-06	-1.80313e-06	2.14807e-06
0	0.96	1.41312e-06	1.08374e-06	1.78085e-06
0	0.975	-9.45171e-07	1.0477e-06	1.41104e-06
0	0.99	-7.33704e-07	-7.76714e-07	1.06846e-06
0	1.005	6.02654e-07	-4.84306e-07	7.73139e-07
0	1.02	3.0045e-07	4.42154e-07	5.34575e-07
0	1.035	-3.07078e-07	1.74447e-07	3.53169e-07
0	1.05	-9.42007e-08	-2.0204e-07	2.22921e-07
0	1.065	1.26006e-07	-4.68284e-08	1.34426e-07
0	1.08	2.10446e-08	7.45225e-08	7.74369e-08
0	1.095	-4.18069e-08	8.23568e-09	4.26104e-08
0	1.11	-2.53959e-09	-2.22506e-08	2.2395e-08
0	1.125	1.12355e-08	-3.66925e-10	1.12415e-08
0	1.14	-2.61237e-10	5.38253e-09	5.38886e-09
0	1.155	-2.44607e-09	-3.19265e-10	2.46681e-09
0	1.17	2.26066e-10	-1.05425e-09	1.07821e-09
