Time   0.001764
x	y	imag	real	abs
0	0	8.17448e-15	6.13809e-15	1.02224e-14
0	0.015	-3.94103e-15	2.21713e-15	4.52188e-15
0	0.03	8.15784e-15	-4.25906e-15	9.20271e-15
0	0.045	-7.21794e-15	6.24908e-15	9.54724e-15
0	0.06	-1.25977e-14	-2.89676e-15	1.29265e-14
0	0.075	-2.33866e-13	-1.30324e-13	2.67727e-13
0	0.09	-1.82091e-13	-3.51985e-13	3.96296e-13
0	0.105	1.1019e-12	3.35512e-13	1.15184e-12
0	0.12	1.3194e-12	3.78379e-12	4.00723e-12
0	0.135	-6.64735e-12	3.24079e-12	7.39526e-12
0	0.15	-1.21693e-11	-1.9743e-11	2.31922e-11
0	0.165	3.36511e-11	-4.08905e-11	5.29569e-11
0	0.18	1.03503e-10	6.419e-11	1.21792e-10
0	0.195	-8.18356e-11	2.73932e-10	2.85895e-10
0	0.21	-6.03443e-10	-3.02707e-11	6.04202e-10
0	0.225	-2.4616e-10	-1.26221e-09	1.28599e-09
0	0.24	2.3167e-09	-1.15271e-09	2.58763e-09
0	0.255	3.30752e-09	3.76031e-09	5.00795e-09
0	0.27	-5.10922e-09	7.76728e-09	9.29703e-09
0	0.285	-1.54743e-08	-5.12306e-09	1.63003e-08
0	0.3	1.77224e-09	-2.67342e-08	2.67928e-08
0	0.315	3.95571e-08	-6.95711e-09	4.01642e-08
0	0.33	1.97924e-08	4.84059e-08	5.22959e-08
0	0.345	-4.45094e-08	2.61692e-08	5.16325e-08
0	0.36	1.78825e-09	-2.15699e-08	2.16439e-08
0	0.375	-1.25654e-08	1.11329e-07	1.12036e-07
0	0.39	-3.55745e-07	-3.09073e-08	3.57085e-07
0	0.405	2.07863e-08	-7.78227e-07	7.78505e-07
0	0.42	1.45964e-06	5.54256e-08	1.46069e-06
0	0.435	-2.74584e-07	2.66967e-06	2.68375e-06
0	0.45	-4.87018e-06	-6.10227e-07	4.90826e-06
0	0.465	6.89631e-07	-8.10181e-06	8.13111e-06
0	0.48	1.13862e-05	1.04068e-06	1.14337e-05
0	0.495	-4.82964e-06	1.47069e-05	1.54796e-05
0	0.51	-2.29436e-05	-1.47035e-05	2.72507e-05
0	0.525	2.44406e-05	-4.12829e-05	4.79752e-05
0	0.54	5.92336e-05	2.49381e-05	6.42692e-05
0	0.555	-3.19941e-05	5.9768e-05	6.77926e-05
0	0.57	-6.57394e-05	-6.78784e-05	9.44942e-05
0	0.585	8.49843e-05	-9.38892e-05	0.000126639
0	0.6	2.85103e-05	9.58842e-05	0.000100033
0	0.615	-0.000392742	-1.5148e-05	0.000393034
0	0.63	-0.000719192	-0.000584788	0.000926938
0	0.645	-0.00121275	-0.00118375	0.0016947
0	0.66	-0.00307465	-0.00237854	0.00388728
0	0.675	-0.00712937	-0.00562083	0.00907864
0	0.69	-0.0150506	-0.0115209	0.0189539
0	0.705	-0.0323782	-0.0200972	0.0381083
0	0.72	-0.0696512	-0.0299324	0.0758105
0	0.735	-0.143476	-0.0304105	0.146663
0	0.75	-0.275263	0.0132057	0.275579
0	0.765	-0.471985	0.181483	0.505674
0	0.78	-0.661285	0.616368	0.903995
0	0.795	-0.57078	1.46662	1.57377
0	0.81	0.399471	2.63987	2.66993
0	0.825	2.984	3.22143	4.39111
0	0.84	6.9206	1.05504	7.00056
0	0.855	8.91574	-6.19069	10.8543
0	0.87	1.65525	-16.0775	16.1625
0	0.885	-17.1352	-14.6153	22.5216
0	0.9	-26.9881	9.94754	28.763
0	0.915	-2.83568	33.2466	33.3673
0	0.93	31.382	15.8112	35.1401
0	0.945	24.2854	-23.3814	33.7115
0	0.96	-13.238	-26.4817	29.6062
0	0.975	-23.5005	4.49033	23.9257
0	0.99	-1.12134	17.8451	17.8803
0	1.005	11.8781	3.60646	12.4136
0	1.02	3.92526	-7.01607	8.03946
0	1.035	-3.69432	-3.18103	4.87514
0	1.05	-2.17377	1.72882	2.77742
0	1.065	0.708546	1.31204	1.49114
0	1.08	0.716042	-0.24414	0.756519
0	1.095	-0.0619496	-0.358302	0.363618
0	1.11	-0.165919	0.00367606	0.16596
0	1.125	-0.00857695	0.0715682	0.0720803
0	1.14	0.0288943	0.00749162	0.0298497
0	1.155	0.00439763	-0.0109582	0.0118077
0	1.17	-0.00391434	-0.00215665	0.00446914
0	1.185	-0.000941832	0.0013194	0.00162107
0	1.2	0.000420109	0.000376808	0.000564337
0	1.215	0.000140272	-0.000126388	0.000188813
0	1.23	-3.58954e-05	-4.90623e-05	6.07914e-05
0	1.245	-1.62309e-05	9.6014e-06	1.88581e-05
0	1.26	2.4074e-06	5.10355e-06	5.64286e-06
0	1.275	1.53098e-06	-5.60829e-07	1.63047e-06
0	1.29	-1.19319e-07	-4.39482e-07	4.55391e-07
0	1.305	-1.21022e-07	2.23316e-08	1.23065e-07
0	1.32	3.31324e-09	3.20371e-08	3.22079e-08
0	1.335	8.16762e-09	-2.17934e-10	8.17053e-09
0	1.35	9.40717e-11	-2.00848e-09	2.01068e-09
0	1.365	-4.77113e-10	-5.63339e-11	4.80427e-10
0	1.38	-2.05883e-11	1.09593e-10	1.1151e-10
0	1.395	2.43887e-11	6.25642e-12	2.51784e-11
0	1.41	1.71252e-12	-5.25163e-12	5.52379e-12
0	1.425	-1.10204e-12	-4.32214e-13	1.18376e-12
0	1.44	-1.03379e-13	2.24329e-13	2.47003e-13
0	1.455	4.43414e-14	2.35762e-14	5.02195e-14
0	1.47	5.11455e-15	-8.56499e-15	9.97585e-15
0	1.485	-1.94959e-15	-1.10621e-15	2.24156e-15
0.015	0	1.41427e-14	1.30913e-14	1.92717e-14
0.015	0.015	-7.01655e-15	3.7778e-15	7.96892e-15
