Time   8.4e-05
Coordinate	x1	x2
0	8.9524e-14	8.52141e-31
0.015	1.20337e-13	4.38366e-32
0.03	1.24102e-14	7.32323e-34
0.045	2.56692e-13	6.16238e-36
0.06	3.4814e-13	3.16008e-38
0.075	2.11837e-13	1.10046e-40
0.09	1.15398e-13	2.79271e-43
0.105	1.0459e-12	5.44532e-46
0.12	1.68913e-11	4.33353e-49
0.135	2.19778e-10	1.46257e-47
0.15	2.4405e-09	1.04374e-45
0.165	2.34825e-08	6.93934e-44
0.18	1.96862e-07	4.22931e-42
0.195	1.44427e-06	2.35638e-40
0.21	9.31168e-06	1.19657e-38
0.225	5.29697e-05	5.52271e-37
0.24	0.00026683	2.31258e-35
0.255	0.00119426	8.78706e-34
0.27	0.00476373	3.04029e-32
0.285	0.0169817	9.65746e-31
0.3	0.0542381	2.85366e-29
0.315	0.155571	7.96592e-28
0.33	0.401589	2.12431e-26
0.345	0.934822	5.41156e-25
0.36	1.96594	1.301e-23
0.375	3.74158	2.89985e-22
0.39	6.45483	5.9015e-21
0.405	10.1093	1.08763e-19
0.42	14.3945	1.81511e-18
0.435	18.6594	2.76179e-17
0.45	22.0495	3.87212e-16
0.465	23.7817	5.05135e-15
0.48	23.4398	6.15736e-14
0.495	21.1365	6.99104e-13
0.51	17.457	7.33247e-12
0.525	13.2202	7.03895e-11
0.54	9.18964	6.14177e-10
0.555	5.86946	4.85378e-09
0.57	3.44809	3.47267e-08
0.585	1.86496	2.25269e-07
0.6	0.929596	1.32815e-06
0.615	0.427436	7.13448e-06
0.63	0.181472	3.4988e-05
0.645	0.071206	0.000156862
0.66	0.0258453	0.000643434
0.675	0.00868508	0.00241573
0.69	0.00270398	0.00830232
0.705	0.000780325	0.0261187
0.72	0.000208748	0.075208
0.735	5.17405e-05	0.198193
0.75	1.1869e-05	0.477938
0.765	2.51578e-06	1.05453
0.78	4.9186e-07	2.12861
0.795	8.85875e-08	3.93034
0.81	1.46972e-08	6.63755
0.825	2.2502e-09	10.2512
0.84	3.19249e-10	14.4772
0.855	4.22422e-11	18.6931
0.87	5.25449e-12	22.0654
0.885	6.19388e-13	23.8083
0.9	6.9617e-14	23.4788
0.915	7.48159e-15	21.1595
0.93	7.68011e-16	17.4246
0.945	7.5015e-17	13.1097
0.96	6.93531e-18	9.01051
0.975	6.03814e-19	5.65684
0.99	4.93076e-20	3.24349
1.005	3.7672e-21	1.69829
1.02	2.69052e-22	0.811922
1.035	1.79734e-23	0.354375
1.05	1.12515e-24	0.141188
1.065	6.61982e-26	0.0513408
1.08	3.67433e-27	0.017037
1.095	1.93272e-28	0.00515854
1.11	9.67813e-30	0.00142495
1.125	4.70234e-31	0.000359041
1.14	1.63856e-32	8.25071e-05
1.155	5.64474e-32	1.7289e-05
1.17	1.45905e-30	3.30298e-06
1.185	4.19604e-29	5.75206e-07
1.2	1.11961e-27	9.12939e-08
1.215	2.77229e-26	1.32032e-08
1.23	6.32668e-25	1.73959e-09
1.245	1.32066e-23	2.08766e-10
1.26	2.49974e-22	2.2815e-11
1.275	4.2471e-21	2.27003e-12
1.29	6.40051e-20	2.05585e-13
1.305	8.43536e-19	1.69431e-14
1.32	9.55635e-18	1.27034e-15
1.335	9.11e-17	8.66277e-17
1.35	7.11118e-16	5.37129e-18
1.365	4.38314e-15	3.02729e-19
1.38	2.02643e-14	1.5504e-20
1.395	6.48886e-14	7.2128e-22
1.41	1.2458e-13	3.04705e-23
1.425	1.00484e-13	1.16844e-24
1.44	2.47293e-15	4.06549e-26
1.455	8.75883e-14	1.28248e-27
1.47	6.93454e-14	3.59487e-29
1.485	5.17637e-14	3.6931e-31
