Time   0.001176
Coordinate	x1	x2
0	0.00390719	3.46935e-29
0.015	0.00177634	2.6492e-30
0.03	0.00701106	4.94943e-31
0.045	0.00880537	6.89817e-32
0.06	0.0175683	1.0423e-32
0.075	0.0279104	3.18224e-32
0.09	0.0470726	8.75021e-32
0.105	0.0758013	2.22659e-30
0.12	0.120251	2.17641e-29
0.135	0.187068	2.79521e-28
0.15	0.284271	3.12081e-27
0.165	0.423865	3.2645e-26
0.18	0.6178	3.15193e-25
0.195	0.882166	2.8083e-24
0.21	1.23218	2.30335e-23
0.225	1.6845	1.73522e-22
0.24	2.25274	1.19784e-21
0.255	2.94706	7.55874e-21
0.27	3.77043	4.34948e-20
0.285	4.71685	2.27675e-19
0.3	5.76879	1.08174e-18
0.315	6.89622	4.65741e-18
0.33	8.05652	1.81678e-17
0.345	9.1962	6.443e-17
0.36	10.2543	2.10308e-16
0.375	11.1674	6.52931e-16
0.39	11.8755	2.06798e-15
0.405	12.3286	7.37428e-15
0.42	12.4922	3.10483e-14
0.435	12.3518	1.4552e-13
0.45	11.9149	6.92186e-13
0.465	11.2101	3.14629e-12
0.48	10.2845	1.3281e-11
0.495	9.19826	5.13921e-11
0.51	8.01793	1.81096e-10
0.525	6.80987	5.78724e-10
0.54	5.63402	1.67216e-09
0.555	4.5392	4.35926e-09
0.57	3.5604	1.02447e-08
0.585	2.71799	2.17363e-08
0.6	2.01881	4.19333e-08
0.615	1.45852	7.54596e-08
0.63	1.0246	1.39791e-07
0.645	0.699663	3.58631e-07
0.66	0.464266	1.66064e-06
0.675	0.299257	1.06897e-05
0.69	0.187315	7.18585e-05
0.705	0.113815	0.000456122
0.72	0.0671085	0.00262429
0.735	0.0383845	0.0133196
0.75	0.021291	0.0585361
0.765	0.0114492	0.220355
0.78	0.00596773	0.707117
0.795	0.00301481	1.9323
0.81	0.00147652	4.50117
0.825	0.00070152	8.95661
0.84	0.000323525	15.2614
0.855	0.000144776	22.3234
0.87	6.27956e-05	28.0984
0.885	2.63703e-05	30.5001
0.9	1.06915e-05	28.6073
0.915	4.15786e-06	23.2261
0.93	1.5423e-06	16.349
0.945	5.52827e-07	9.99197
0.96	2.00791e-07	5.30946
0.975	7.95562e-08	2.45619
0.99	3.58423e-08	0.990528
1.005	1.80986e-08	0.348713
1.02	9.99277e-09	0.10733
1.035	5.78883e-09	0.02893
1.05	3.35911e-09	0.00684164
1.065	1.84817e-09	0.00142254
1.08	2.22036e-09	0.000260662
1.095	6.61437e-09	4.22012e-05
1.11	1.77875e-08	6.05394e-06
1.125	3.89156e-08	7.71869e-07
1.14	7.45082e-08	8.77499e-08
1.155	1.26014e-07	8.92515e-09
1.17	1.93303e-07	8.15005e-10
1.185	2.73738e-07	6.70521e-11
1.2	3.55477e-07	4.9878e-12
1.215	4.24881e-07	3.36645e-13
1.23	4.71674e-07	2.06871e-14
1.245	4.85306e-07	1.16132e-15
1.26	4.63368e-07	5.97502e-17
1.275	4.1424e-07	2.82636e-18
1.29	3.47485e-07	1.23287e-19
1.305	2.73775e-07	4.9735e-21
1.32	2.05415e-07	1.86056e-22
1.335	1.50909e-07	6.47143e-24
1.35	1.156e-07	2.09813e-25
1.365	1.07702e-07	6.3726e-27
1.38	1.41599e-07	2.01588e-28
1.395	2.48073e-07	1.86269e-29
1.41	4.91328e-07	1.85731e-30
1.425	1.0041e-06	1.58057e-30
1.44	2.04382e-06	3.75736e-30
1.455	4.10362e-06	2.52807e-31
1.47	8.09449e-06	6.05678e-31
1.485	1.96617e-05	2.58058e-31
